Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part Number,Manufacturer Part Number,Manufacturer,Supplier Part Number,Supplier
"100nF, 50V",CAP CER 0.1UF 50V X7R 0402,"C1, C3, C4, C5, C6, C8, C9, C10, C15",CAPC1005X55N,CL05B104KB54PNC,9,C307331,CL05B104KB54PNC,Samsung,1276-CL05B104KB54PNCCT-ND,Digikey
"4u7, 16V",CAP CER 4.7UF 16V X5R 0402,"C2, C11",CAPC1005X55N,CL05A475MO5NUNC,2,C318563,CL05A475MO5NUNC,Samsung,1276-6836-1-ND,Digikey
"10uF, 10V",CAP CER 10UF 10V X5R 0402,"C12, C13, C14",CAPC1005X55N,CL05A106MP8NUB8,3,C307415,CL05A106MP8NUB8,Samsung,1276-6830-1-ND,Digikey
"1uF, 35V",CAP CER 1UF 35V X5R 0402,C16,CAPC1005X55N,CL05A105KL5NRNC,1,C307413,CL05A105KL5NRNC,Samsung,1276-6796-1-ND,Digikey
GREEN,LED YLW-GRN 0402 SMD,D1,LED0402G,VLMG1500-GS08,1,C511404,VLMG1500-GS08,Vishay,VLMG1500-GS08CT-ND,Digikey
RED,LED RED 0402 SMD,D2,LED0402R,VLMS1500-GS08,1,C511370,VLMS1500-GS08,Vishay,VLMS1500-GS08CT-ND,Digikey
AQ3045-01ETG,TVS DIODE 5.3VWM 12VC SOD882,"D3, D4, D5, D6, D7, D8",SOD882,AQ3045-01ETG,6,C3710326,AQ3045-01ETG,Littelfuse,F9321CT-ND,Digikey
0022284245,CONN HEADER VERT 24POS 2.54MM,"J1, J2",HDR_1X24_2.54MM,0022284245,2,C7145888,0022284245,Molex,900-0022284245-ND,Digikey
217179-0001,CONN RCP USB2.0 TYP C 24P SMD RA,"J3, J4",FP-2171790001-MFG,217179-0001,2,C3197684,217179-0001,Molex,900-2171790001CT-ND,Digikey
FTS-103-01-F-S,CONN HEADER VERT 3POS 1.27MM,J5,HDR_1X3_1.27MM,FTS-103-01-F-S,1,C3333578,FTS-103-01-F-S,Samtec,612-FTS-103-01-F-S-ND,Digikey
FTS-102-01-F-S,CONN HEADER VERT 2POS 1.27MM,J6,HDR_1X2_1.27MM,FTS-102-01-F-S,1,C6045317,FTS-102-01-F-S,Samtec,SAM15176-ND,Digikey
M50-1920005,CONN SHUNT 1.27MM RED,"LINK1, LINK2",,M50-1920005,2,C6985646,M50-1920005,Harwin,952-1727-ND,Digikey
SS8050-G,TRANS NPN 25V 1.5A SOT23-3,"Q1, Q2",FP-SS8050-G-IPC_B,SS8050-G,2,C164886,SS8050-G,Comchip,641-1790-1-ND,Digikey
0R,RES 0 OHM JUMPER 1/16W 0402,"R1, R8, R19, R20, R23, R24",RESC1005X37N,RC0402JR-070RL,6,C60485,RC0402JR-070RL,Yageo,311-0.0JRCT-ND,Digikey
1K,RES 1K OHM 1% 1/16W 0402,"R3, R4",RESC1005X37N,RC0402FR-071KL,2,C106235,RC0402FR-071KL,Yageo,311-1.00KLRCT-ND,Digikey
27R,RES 27 OHM 1% 1/16W 0402,"R6, R7, R21, R22",RESC1005X37N,RC0402FR-0727RL,4,C138021,RC0402FR-0727RL,Yageo,YAG3086CT-ND,Digikey
4K7,RES 4.7K OHM 1% 1/16W 0402,R10,RESC1005X37N,RC0402FR-074K7L,1,C105871,RC0402FR-074K7L,Yageo,311-4.7KLRCT-ND,Digikey
5K1,RES SMD 5.1K OHM 1% 1/16W 0402,"R11, R12, R14, R15",RESC1005X37N,AC0402FR-075K1L,4,C144745,AC0402FR-075K1L,Yageo,YAG3503CT-ND,Digikey
10K,RES SMD 10K OHM 1% 1/16W 0402,"R13, R16, R17, R18",RESC1005X37N,AC0402FR-0710KL,4,C144807,AC0402FR-0710KL,Yageo,YAG3436CT-ND,Digikey
PTS645SH50SMTR92LFS,SWITCH TACTILE SPST-NO 0.05A 12V,"SW1, SW2",FP-PTS645SH50SMTR92LFS-MFG,PTS645SH50SMTR92LFS,2,C221869,PTS645SH50SMTR92LFS,ITT C&K,CKN9085CT-ND,Digikey
ESP32-S3-MINI-1-N8,"SMD Module, ESP32-S3FN8, 8 mb Sp",U1,XCVR_ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1-N8,1,C2913206,ESP32-S3-MINI-1-N8,Espressif Systems,1965-ESP32-S3-MINI-1-N8CT-ND,Digikey
FT231XQ-R,IC USB SERIAL FULL UART 20QFN,U2,FP-QFN-20-IPC_B,FT231XQ-R,1,C132159,FT231XQ-R,FTDI,768-1128-1-ND,Digikey
TL1963A-33DCYR,IC REG LINEAR 3.3V 1.5A SOT223-4,U3,DCY0004A_N,TL1963A-33DCYR,1,C181262,TL1963A-33DCYR,Texas Instruments,296-24897-1-ND,Digikey
